Тема,Описание,Точка отказа,Серийный номер,Тип оборудования
Проблемы с НК2-1404 / Зарядное устройство пере...,Неисправность блока питания,Блок питания,C223100251,Ноутбук
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о неисправности сервера с серийным номером D252030013.",Сервер,D252030013,Сервер
Проблемы с блоком питания,Не функционирует блок питания на устройстве SN...,Блок питания,C223010123,Ноутбук
Неисправность сервера,"Модель: сервер CP2-5422, серийный номер: D252030021",Сервер,D252030021,Сервер
BIOS'ы,"Добрый день! Подскажите, пожалуйста, после обновления BIOS у меня возникли некоторые проблемы с загрузкой операционной системы.",Консультация,C223010345,Ноутбук
Не включается,Перестал включаться,Материнская плата,C223092664,Ноутбук
Полосы на экране,Полосы на экране могут появляться по разным причинам.,Матрица,C223090696,Ноутбук
S124-HDD fault-E213120001,"Жесткий диск, замененный ранее, вышел из строя. Серийный номер диска: E213120001.",Диск,E213120001,СХД
Проблема с клавиатурой ноутбука,Добрый день! Перестали функционировать некоторые клавиши на клавиатуре моего ноутбука. ,Клавиатура,C222090998,Ноутбук
Гарантийный ремонт ноутбука,Прошу принять в гарантийный ремонт ноутбук с проблемой диска.,Диск,C223011138,Ноутбук
Обновление BMC Cube для Zabbix,"Доброго времени суток! У нас есть обновленная версия BMC Cube для Zabbix, которую мы можем вам предоставить.",Консультация,D263120004,Сервер
Проблемы с СХД,Вылетело несколько дисков и потребовалась перезагрузка резервной системы хранения данных.,Диск,CKM01212505744,СХД
СИЛА НК2-1404 // Не работает LAN порт // С2220,Добрый день. Ноутбук СИЛА. Не функционирует сетевой порт Ethernet.,Wi-fi модуль,С222090774,Ноутбук
Ноутбук,Необходимо произвести модернизацию WiFi антенны,Wi-fi антенна,C223012938,Ноутбук
Гарантийный ремонт,"При запуске нового ноутбука из упаковки, на экране появляется ошибка.",Матрица,С223091324,Ноутбук
HK2-1404,Не работает зарядное устройство ноутбука.,Блок питания,C223100876,Ноутбук
Не включается SILA LLC HK2-3404,"Добрый день! Подскажите, пожалуйста, что может быть причиной того, что мой ноутбук не включается?",Материнская плата,C223094534,Ноутбук
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перестала функционировать.",Диск,CKM01212505744,СХД
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных данных.",Диск,CKM01212505744,СХД
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному диску с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
S123456,"Произошла некорректная замена компонента, в результате чего...",Диск,E213120001,СХД
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перестала функционировать.",Диск,CKM01212505744,СХД
СИЛА CX-1015-12 // HDD fault // E213120001,"Вышел из строя диск, пришедший на замену по гарантии.",Диск,E213120001,СХД
СХД CX4-1127-00,Добрый день. Прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.,Диск,CKM00194301861,СХД
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
СХД CX4-1127-00,"Добрый день. 
Прошу открыть кейс по неисправному диску с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
SJH-3456-12,Замененный диск после выхода из строя...,Диск,E213120001,СХД
СХД CX4-1127-00,Добрый день. Прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.,Диск,CKM00194301861,СХД
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных данных.",Диск,CKM01212505744,СХД
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основного хранилища данных.",Диск,CKM01212505744,СХД
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству хранения данных с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных данных.",Диск,CKM01212505744,СХД
СИЛА CX-1015-12,Замена диска в системе хранения данных (СХД) привела к сбою.,Диск,E213120001,СХД
S123456,"Вышел из строя диск, полученный взамен по гарантии",Диск,E213120001,СХД
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя из-за ошибки в прошивке.",Диск,E213120001,СХД
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному оборудованию.,Диск,CKM00194401300,СХД
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Проблемы с системой хранения данных,Вылетели несколько дисков и резервная система перезагрузилась,Диск,CKM01212505744,СХД
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
S12345 // HDD fault // E213120001,"Вышел из строя диск, замененный на новый по гарантии.",Диск,E213120001,СХД
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных данных.",Диск,CKM01212505744,СХД
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
SJH-3456-12,"Вышел из строя накопитель, установленный вместо ранее использовавшегося.",Диск,E213120001,СХД
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя из-за ошибки в прошивке.",Диск,E213120001,СХД
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя из-за ошибки в прошивке.",Диск,E213120001,СХД
SJH-3456-12,"Накопитель, установленный вместо старого, неисправен.",Диск,E213120001,СХД
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных данных.",Диск,CKM01212505744,СХД
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перестала функционировать.",Диск,CKM01212505744,СХД
SJH-3456-12,"Накопитель, установленный вместо старого, неисправен.",Диск,E213120001,СХД
SJH-3456-12,Замененный диск после выхода из строя...,Диск,E213120001,СХД
Открыть кейс по неисправному диску,Добрый день. Прошу открыть кейс по неисправному диску с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
СР2-5422 после обновления BIOS и BMC,"Обновили BIOS и BMC на сервере, после чего материнская плата перестала работать корректно.",Материнская плата,D251110011,Сервер
S123456,"Замена диска не произошла должным образом, и теперь он неисправен.",Диск,E213120001,СХД
Обновление BIOS и BMC Cube,"Доброго времени суток! Если были обновления этих компонентов, пожалуйста, сообщите мне их номера.",Консультация,D263080001,Сервер
SJH-3456-12,"Новый накопитель установлен вместо старого, неисправного, и система уже распознала его",Диск,E213120001,СХД
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, не удается подключиться к нашему серверу. Серийный номер устройства - D252030019.",Сервер,D252030019,Сервер
СХД CX4-1127-00,"Добрый день, прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
Неисправность сервера,"Доброго времени суток, товарищи. Пожалуйста, ознакомьтесь с информацией о проблеме...",Сервер,D252030014,Сервер
S123456 // HDD fault // E213120001,"Вышел из строя диск, замененный на новый по гарантии.",Диск,E213120001,СХД
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о необходимости ремонта серверного оборудования с серийным номером D252030012.",Сервер,D252030012,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о необходимости ремонта серверного оборудования с серийным номером D252030012.",Сервер,D252030012,Сервер
SJH-3456-12,"Накопитель, установленный вместо старого, неисправен.",Диск,E213120001,СХД
СР2-5422,Добрый вечер! На сервере возникли системные ошибки...,Материнская плата,D251110041,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
Неисправность сервера,"Модель: сервер CP2-5422
S/N: D252030011",Сервер,D252030011,Сервер
S123456,"Произошла некорректная замена компонента, в результате чего...",Диск,E213120001,СХД
СР2-5422,Добрый вечер! На сервере возникли системные ошибки...,Материнская плата,D251110041,Сервер
СХД CX4-1127-00,Добрый день. Прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.,Диск,CKM00194301861,СХД
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о необходимости ремонта серверного оборудования с серийным номером D252030012.",Сервер,D252030012,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправности устройства хранения данных с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
СР2-5422,Обнаружены проблемы с вентилятором системы охлаждения,Материнская плата,D251110010,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству хранения данных с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день. Прошу открыть кейс по проблеме с диском на сервере.",Диск,CKM00194300974,Сервер
SX-1015-12,Замена накопителя в системе хранения данных,Диск,E213120001,СХД
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перестала функционировать.",Диск,CKM01212505744,СХД
Обновление BIOS и BMC сервера,"Добрый день! Если были обновления этих компонентов, пожалуйста, сообщите серийный номер устройства.",Консультация,D263080001,Сервер
S12345,"Вышел из строя диск, замененный на новый по гарантии, серийный номер E213120001.",Диск,E213120001,СХД
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о неисправности сервера с серийным номером D252030013.",Сервер,D252030013,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному диску с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перестала функционировать.",Диск,CKM01212505744,СХД
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC вентилятор на нашем сервере начал работать с перебоями.,Вентилятор,D251110031,Сервер
СХД CX4-1127-00,Добрый день. Прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.,Диск,CKM00194301861,СХД
Ошибки диска,"Добрый день, коллеги. Прошу открыть заявку с серийным номером CKM00194300974 по поводу ошибок на диске.",Диск,CKM00194300974,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя. Серийный номер диска: E213120001.",Диск,E213120001,СХД
СР2-5422,Обнаружены проблемы с System Fan 2,Материнская плата,D251110010,Сервер
S123456,"Вышел из строя новый диск, установленный после замены.",Диск,E213120001,СХД
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, наша система дала сбой. Мы подозреваем, что проблема связана с сервером.",Сервер,D252030019,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному диску с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Обновление BIOS и BMC сервера,"Доброго времени суток! Если были обновления этих компонентов, то необходимо проверить их актуальность и установить последние версии.",Консультация,D263080001,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC вентилятор на сервере начал работать с перебоями.,Вентилятор,D251110031,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
СР2-5422,Добрый вечер! На нашем сервере произошла системная ошибка...,Материнская плата,D251110041,Сервер
SJH-3456-12,"Накопитель, установленный вместо старого, неисправен.",Диск,E213120001,СХД
СР2-5422,Выявлены неполадки в функционировании системы охлаждения,Материнская плата,D251110010,Сервер
SJH-3456-12,"Диск, установленный вместо вышедшего из строя, перестал функционировать",Диск,E213120001,СХД
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день. Прошу открыть кейс по проблеме с диском с серийным номером CKM00194300974.",Диск,CKM00194300974,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день. Прошу открыть кейс по проблеме с диском на сервере.",Диск,CKM00194300974,Сервер
СХД CX4-1127-00,"Добрый день. 
Прошу открыть кейс по неисправному диску с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030010",Сервер,D252030009,Сервер
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перестала функционировать.",Диск,CKM01212505744,СХД
СР2-5422,Добрый вечер! На сервере обнаружена проблема с материнской платой.,Материнская плата,D251110041,Сервер
Проблемы с СХД,Несколько дисков вышли из строя и понадобилось заменить их.,Диск,CKM01212505744,СХД
СР2-5422 после обновления BIOS и BMC,"Обновили BIOS и BMC на сервере, после чего материнская плата перестала работать корректно.",Материнская плата,D251110011,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя. Серийный номер диска: E213120001.",Диск,E213120001,СХД
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030011",Сервер,D252030011,Сервер
Проблемы с СХД,Несколько дисков вышли из строя и понадобилось заменить их.,Диск,CKM01212505744,СХД
СР2-5422,Обнаружены проблемы с System Fan 2,Материнская плата,D251110010,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Ошибки диска,"Добрый день, коллеги. Прошу открыть заявку с описанием проблем с диском.",Диск,CKM00194300974,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных данных.",Диск,CKM01212505744,СХД
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Неисправность сервера,"Доброго времени суток, товарищи. Пожалуйста, обратите внимание на следующую информацию о проблеме...",Сервер,D252030014,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030010",Сервер,D252030009,Сервер
SJH-3456-12,"Вышел из строя накопитель, установленный вместо ранее использовавшегося.",Диск,E213120001,СХД
Обновление BIOS и BMC Cube,"Доброго времени суток! Если были обновления этих компонентов, пожалуйста, сообщите мне серийный номер вашего устройства для идентификации.",Консультация,D263080001,Сервер
Проблемы с СХД,Несколько дисков вышли из строя и понадобилось заменить их.,Диск,CKM01212505744,СХД
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, не удается подключиться к нашему серверу. Пожалуйста, помогите с этим вопросом.",Сервер,D252030019,Сервер
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перестала функционировать.",Диск,CKM01212505744,СХД
СР2-5422,Обнаружены проблемы с вентилятором системы 2,Материнская плата,D251110010,Сервер
SJH-3456-12,Замененный компонент после технического обслуживания...,Диск,E213120001,СХД
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день. Прошу открыть кейс по проблеме с диском на сервере.",Диск,CKM00194300974,Сервер
S12345 // HDD fault // E213120001,"Вышел из строя диск, полученный взамен по гарантии.",Диск,E213120001,СХД
СР2-5422 после обновления BIOS и BMC,"Обновили BIOS и BMC на сервере, после чего материнская плата перестала работать корректно.",Материнская плата,D251110011,Сервер
СХД CX4-1127-00,"Добрый день, прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
СР2-5422 после обновления BIOS и BMC,"Обновили BIOS и BMC на сервере, после чего материнская плата перестала работать корректно.",Материнская плата,D251110011,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Неработоспособность BMC,Добрый день. Сервер перестал загружаться на этапе BIOS.,Материнская плата,"D253040009, D253010009",Сервер
S123456,"Произошла некорректная замена компонента, в результате чего...",Диск,E213120001,СХД
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030021",Сервер,D252030021,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC вентилятор на нашем сервере начал работать с перебоями.,Вентилятор,D251110031,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
SJH-3456-12,Замененный диск после выхода из строя...,Диск,E213120001,СХД
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
SJH-3456-12,Замененный компонент после технического обслуживания...,Диск,E213120001,СХД
Неисправность сервера,"Модель: сервер CP2-5422
S/N: D252030011",Сервер,D252030011,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
Обновление BIOS и BMC Cube,"Добрый день! Если были обновления этих компонентов, пожалуйста, сообщите серийный номер вашего устройства для идентификации.",Консультация,D263080001,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о необходимости ремонта серверного оборудования с серийным номером D252030012.",Сервер,D252030012,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному диску с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Обновление программного обеспечения для сервера,"Добрый день! У нас имеется новая версия ПО для сервера, которую мы рекомендуем установить.",Консультация,D263120004,Сервер
СХД CX4-1127-00,"Добрый день, прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
Ошибки диска,"Добрый день, коллеги. У нас возникли проблемы с диском...",Диск,CKM00194300974,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя. Серийный номер диска: E213120001.",Диск,E213120001,СХД
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
СХД CX4-1127-00,"Добрый день, прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
СР2-5422,Обнаружены проблемы с системой охлаждения сервера,Материнская плата,D251110010,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя из-за ошибки в прошивке.",Диск,E213120001,СХД
СР2-5422,Обнаружены проблемы с вентилятором системы охлаждения,Материнская плата,D251110010,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Проблемы с новым сервером и BMC Cube,Доброго времени суток! У нас возникли некоторые проблемы с новым сервером и его BMC Cube.,Консультация,D263120004,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному диску с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Неработоспособность BMC,Добрый день. Сервер перестал загружаться на этапе POST-кодов материнской платы.,Материнская плата,"D253040009, D253010009",Сервер
SX-1015-12,Замена диска в системе хранения данных,Диск,E213120001,СХД
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030021",Сервер,D252030021,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя. Серийный номер диска: E213120001.",Диск,E213120001,СХД
СР2-5422,Выявлены неполадки с кулером в системе охлаждения...,Материнская плата,D251110010,Сервер
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перестала функционировать.",Диск,CKM01212505744,СХД
Неработоспособность BMC,Добрый день. Сервер перестал пускать в BIOS.,Материнская плата,"D253040009, D253010009",Сервер
Проблемы с системой хранения данных,Вылетели несколько дисков и резервная система перезагрузилась,Диск,CKM01212505744,СХД
Обновление программного обеспечения для сервера,"Добрый день! У нас имеется новая версия ПО для серверов, которую мы рекомендуем установить.",Консультация,D263120004,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC вентилятор на сервере начал работать с перебоями.,Вентилятор,D251110031,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя из-за ошибки в прошивке.",Диск,E213120001,СХД
Неработоспособность BMC,Добрый день. Сервер перестал запускаться в BIOS.,Материнская плата,"D253040009, D253010009",Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
СР2-5422,Обнаружены сбои в работе системы охлаждения,Материнская плата,D251110010,Сервер
SJH-3456-12,"Накопитель, установленный вместо старого, не функционирует должным образом.",Диск,E213120001,СХД
Обновление программного обеспечения для сервера,"Добрый день! У нас есть свежая версия ПО для сервера, которая включает в себя улучшения и исправления ошибок.",Консультация,D263120004,Сервер
Проблемы с СХД,Вылетели 9 дисков и перезагрузилась резервная система.,Диск,CKM01212505744,СХД
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, не удается подключиться к нашему серверу. Серийный номер устройства - D252030019.",Сервер,D252030019,Сервер
S123456,"Замена диска не произошла должным образом, и теперь он неисправен.",Диск,E213120001,СХД
Обновление BIOS и BMC Cube,"Доброго времени суток! Если были обновления этих компонентов, то необходимо проверить их актуальность и установить последние версии.",Консультация,D263080001,Сервер
SJH-3456-12,"Вышел из строя накопитель, установленный вместо ранее использовавшегося.",Диск,E213120001,СХД
Ошибки диска,"Добрый день, коллеги. У нас возникли проблемы с диском...",Диск,CKM00194300974,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных данных.",Диск,CKM01212505744,СХД
СР2-5422,Выявлены неполадки в функционировании системы охлаждения,Материнская плата,D251110010,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основного хранилища данных.",Диск,CKM01212505744,СХД
СР2-5422,Обнаружены сбои в работе системы...,Материнская плата,D251110010,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя из-за ошибки в прошивке.",Диск,E213120001,СХД
СР2-5422,"Добрый вечер! На нашем сервере произошла системная ошибка, связанная с материнской платой. Серийный номер D251110041.",Материнская плата,D251110041,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Неисправность сервера,"Добрый день, коллеги. Прошу принять информацию о необходимости замены сервера с серийным номером D252030014.",Сервер,D252030014,Сервер
СХД CX4-1127-00,"Добрый день. 
Прошу открыть кейс по неисправному диску с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
СР2-5422,Выявлены неполадки в функционировании системы охлаждения,Материнская плата,D251110010,Сервер
S123456,"Вышел из строя диск, полученный взамен по гарантии",Диск,E213120001,СХД
Обновление BIOS и BMC Cube,"Доброго времени суток! Если были обновления этих компонентов, то мне нужна помощь с их установкой.",Консультация,D263080001,Сервер
SX-1015-12,Замена накопителя в системе хранения данных,Диск,E213120001,СХД
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о необходимости ремонта серверного оборудования с серийным номером D252030012.",Сервер,D252030012,Сервер
S12345,"Вышел из строя диск, полученный взамен по гарантии",Диск,E213120001,СХД
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
СХД CX4-1127-00,"Добрый день, прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
СР2-5422 после обновления BIOS и BMC,"Обновили BIOS и BMC на сервере, после чего материнская плата перестала работать корректно.",Материнская плата,D251110011,Сервер
СХД CX4-1127-00,Добрый день. Прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.,Диск,CKM00194301861,СХД
СР2-5422,Обнаружены сбои в работе системы...,Материнская плата,D251110010,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
