Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
СИЛА НК2-3404,"Добрый день.
Возникла проблема с ноутбуком СИЛА НК2-3404 серийный номер: C223091364
На ноутбук была установлена ОС корп, установлены драйвера. При выходе 13.06.2024 на рабочее место и включении ноутбука для установки обновлений, были замечены артефакты.
Ноутбук не вскрывался и не падал, пользователю не выдавался. 
Фото артефактов во вложении.",Ноутбук,Матрица,C223091364
не работает БП,"C223010721 не работает БП, прошу заменит",Ноутбук,Блок питания,C223010721
Ноутбук Сила НК2-3404,"Добрый день.
Нам поступили ноутбуки Сила НК2-3404 и нужны драйвера для корпоративной Win 10 Версия 22H2",Ноутбук,Консультация,"C223091216, C223091307, C223091468, C223091751, C223090099, C223090635, C223091364, C223091547, C223091736, C223091275, C223091861, C223090091, C223090302, C223090269, C223090214"
Неисправность сервера СИЛА // 46923,"Модель: сервер CP2 – 5422
S/N : D252030011 
 Расположение: КВ7 
 Описание: Неисправность системы охлаждения сервера 
 Дополнительная информация во вложении.",Сервер,Сервер,D252030011
НК2-3404 // Мерцание экрана,"У нас же третий из 50 ноутбуков СИЛА проявляет слабость с экраном, вероятно, дело в шлейфе. 
Грустно то, что все 3 этих ноутбука не использовались «в полях» а стояли в офисе, их почти не открывали – закрывали. 
Известная проблема? 

Мерцает экран, пока есть 2 серийника, 1 ноутбук в пути:
C223091001
C223091126

Возможен ли ремонт не в Москве\Области? У нас есть офис в Самаре и в Санкт-Петербурге",Ноутбук,Матрица,"C223091001, C223091126"
10552. СИЛА HK-1404 // замена блоков питания //,"Добрый день! Не работают блоки питания, прошу заменить",Ноутбук,Блок питания,"C223010423, C223011174"
Не включается SILA LLC HK2-3404,"Добрый день!
Подскажите пожалуйста что может, имею ПК SILA LLC HK2-3404 №C223094534.
Села батарейка при работе в автономном режиме, поставил на зарядку нажал на запуск запустился а потом выключился и больше не включается.
И не понятно идёт заряд или нет, что можно сделать",Ноутбук,Материнская плата,C223094534
Драйвера для ноутбука СИЛА НК2-3404,Добрый день! Получили для тестирования один из ваших ноутбуков. Однако Win10 отказывается ставить даже половину драйверов. Если у вас имеется пак драйверов для Win 10 прошу предоставить,Ноутбук,Консультация,C223090609
Не работает дисплей,Не работает дисплей ноутбука.,Ноутбук,Матрица,C223011312
HK2- 1404 // Не работает звук на ноутбуке,"Добрый день,
Не работают звук на ноутбуке, переустановка и обновление драйверов не помогли.
Просьба завести заявку в рамках гарантийного ремонта",Ноутбук,Jack,C223011358
IBS. СИЛА  хрипит левый динамик,"Добрый день! 
На ноутбуке C111120016 хрипит левый динамик.
Обновление драйверов на звук не помогло.",Ноутбук,Динамики,C111120016
Заряд аккумулятора,"Отсутствие заряда аккумулятора, использовались несколько исправных БП для проверки, ноутбук оставался подключенным к БП около суток, светодиод заряда постоянно оранжевого цвета, при отключении БП, ноутбук мгновенно выключается",Ноутбук,Аккумулятор,C223100567
Ноутбук СИЛА HK1-1427/ i5-1135G7/16G/m.2 512Gb/С111120125/инв. № 525823,"1. Перезалил, биос уже последний, обновил драйвера, в корп ОС - микрофон не работает.
2. Запустил гостевую линукс ОС с флешки - микрофон не работает.
3. В биос микрофон включен.
Неисправно само устройство, необходим ремонт",Ноутбук,Камера,С111120125
Сервер СИЛА СР2-5422  // Вышел из строя сетевой SFP модуль,"Добрый день.
На сервере вышел из строя сетевой SFP модуль - нет сигнала
Временно поставили SFP из другого сервера -  сигнал пришел в норму.
Просьба заменить SFP модуль.
Фото сбойного модуля во вложении",Сервер,SFP модуль,D252110012
